Country Name,Country Code,Series Name,Series Code,2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Afghanistan,AFG,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,37.138,36.601,36.342,36.045,35.437,..
Albania,ALB,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,10.757,10.536,10.512,10.305,10.244,..
Algeria,DZA,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,23.379,22.43,21.392,20.491,19.625,..
American Samoa,ASM,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,16.304,15.658,15.649,15.522,15.388,..
Andorra,AND,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,6.993,6.831,6.828,6.85,6.859,..
Angola,AGO,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,39.539,39.127,38.67,38.102,37.588,..
Antigua and Barbuda,ATG,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,11.5,12.18,12.135,12.001,11.848,..
Argentina,ARG,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,13.902,11.799,11.682,10.926,11.064,..
Armenia,ARM,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,12.2,12.3,12.4,12.3,12.3,..
Aruba,ABW,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,10.842,9.688,9.461,8.527,7.973,..
Australia,AUS,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,12.1,11.5,12.1,11.6,10.8,..
Austria,AUT,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,9.6,9.4,9.6,9.1,8.5,..
Azerbaijan,AZE,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,14.1,12.5,11.1,12.1,11.1,..
"Bahamas, The",BHS,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,11.195,11.115,11.023,10.942,10.852,..
Bahrain,BHR,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,13.318,12.813,13.042,13.282,12.46,..
Bangladesh,BGD,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,20.131,20.289,20.414,20.583,20.353,..
Barbados,BRB,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,11.446,11.334,11.287,11.249,11.173,..
Belarus,BLR,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,9.3,8.886,8.624,8.062,7.136,..
Belgium,BEL,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,10.2,9.9,10.2,9.8,9.4,..
Belize,BLZ,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,19.335,18.353,16.539,17.391,18.025,..
Benin,BEN,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,36.036,35.331,34.779,34.35,33.879,..
